FRAGANCIAS,SR500062,0,200050957,200083916,0,1,SR,Sets,212,0
FRAGANCIAS,SR500062,0,200051249,200083943,0,2,SR,Sets,212,0
FRAGANCIAS,SR500062,0,200056246,200086432,0,2,SR,Sets,212,0
FRAGANCIAS,SR500062,0,200095635,200095635,0,1,SR,Sets,212,1
FRAGANCIAS,SR500062,0,200095935,200095935,0,1,SR,Sets,212,1
MAQUILLAJE,SR500062,0,P0210133000,200095270,0,1,SR,Sets,212,1
MAQUILLAJE,SR500062,0,P0210133000,200095263,0,1,SR,Sets,212,0
MAQUILLAJE,SR500062,0,P0261097003,200098925,0,1,SR,Sets,212,0
MAQUILLAJE,SR500062,0,P0261097003,200098923,0,1,SR,Sets,212,1
TRATAMIENTO CORPORAL,SR500061,0,200061181,200061181,0,1,SR,Sets,212,0
TRATAMIENTO CORPORAL,SR500061,0,200070075,200085752,0,1,SR,Sets,212,1
TRATAMIENTO CORPORAL,SR500061,0,200093367,200093367,0,1,SR,Sets,212,0
TRATAMIENTO CORPORAL,SR500061,0,200095385,200095385,0,1,SR,Sets,212,0
TRATAMIENTO CORPORAL,SR500061,0,200097378,200097378,0,1,SR,Sets,212,1
FRAGANCIAS,SR500061,0,200099310,200099310,0,1,SR,Sets,212,0
MAQUILLAJE,LMG500238,1,P0261097003,200098925,2,1,LMG,Sets,213,0
MAQUILLAJE,LMG500238,1,P0261097003,200098924,2,1,LMG,Sets,213,0
MAQUILLAJE,LMG500238,1,P0261097003,200098922,2,1,LMG,Sets,213,0
MAQUILLAJE,LMG500238,1,P0261097003,200098921,2,1,LMG,Sets,213,0
MAQUILLAJE,LMG500238,1,P0261097003,200098926,2,1,LMG,Sets,213,0
MAQUILLAJE,LMG500238,1,P0261097003,200098923,2,1,LMG,Sets,213,0
TRATAMIENTO FACIAL,LMG500238,1,200051088,200073558,1,1,LMG,Sets,213,1
MAQUILLAJE,SR500060,1,P0261097003,200098925,2,1,SR,Sets,212,0
MAQUILLAJE,SR500060,1,P0261097003,200098924,2,1,SR,Sets,212,0
MAQUILLAJE,SR500060,1,P0261097003,200098922,2,1,SR,Sets,212,0
MAQUILLAJE,SR500060,1,P0261097003,200098921,2,1,SR,Sets,212,0
MAQUILLAJE,SR500060,1,P0261097003,200098926,2,1,SR,Sets,212,0
MAQUILLAJE,SR500060,1,P0261097003,200098923,2,1,SR,Sets,212,0
TRATAMIENTO FACIAL,SR500060,1,200051088,200073558,1,1,SR,Sets,212,1
FRAGANCIAS,ATP500236,1,200058349,200098663,3,1,ATP,Individual,209,0
